,v_no,village,t_no,town,d_no,district,c_no,city
65,220,二十二连,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
66,220,二十三连,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
67,220,二十四连,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
68,220,良种连,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
69,123,林业站生活区,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
70,220,农一队,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
71,220,农二队,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
72,220,农三队,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
73,220,农四队,659003513,兵团五十三团,659003,图木舒克市,6590,自治区直辖县级行政区划
74,123,团部,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
75,220,二连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
76,220,三连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
77,220,四连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
78,220,六连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
79,220,十连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
80,123,十二连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
81,220,十三连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
82,220,十四连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
83,220,十五连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
84,220,十六连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
85,220,十九连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
86,220,二十连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
87,220,二十二连,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
88,220,农一队,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
89,220,农二队,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
90,220,农三队,659003511,兵团五十一团,659003,图木舒克市,6590,自治区直辖县级行政区划
91,123,团部,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
92,123,一连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
93,220,二连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
94,220,三连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
95,220,四连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
96,220,六连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
97,220,七连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
98,220,八连,659003510,兵团五十团,659003,图木舒克市,6590,自治区直辖县级行政区划
